# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -943 1 9116 2 123567514776292316 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=52.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 202 0 9342 2 4785074604918699 1 ./index.html-catid=152.html
DUPTYPE_WITHIN_SAME_TREE -202 0 9342 2 49821070878130583 1 ./index.html-catid=152.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 969 1 9370 2 145522562959669577 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=83.html
DUPTYPE_WITHIN_SAME_TREE -969 1 9370 2 30117822508336238 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=83.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 959 1 9456 2 121315714962552339 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=68.html
DUPTYPE_WITHIN_SAME_TREE -959 1 9456 2 216172782114098566 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=68.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1122 1 9456 2 495677433987607908 1 ./tarot-english-minor/index.html
DUPTYPE_WITHIN_SAME_TREE -1122 1 9456 2 5910974511488143 1 ./tarot-english-minor/index.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1025 1 9472 2 6192449488471545 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=34.html
DUPTYPE_WITHIN_SAME_TREE -1025 1 9472 2 101330991616145647 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=34.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 911 1 9491 2 187743809466266253 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=169.html
DUPTYPE_WITHIN_SAME_TREE -911 1 9491 2 50102545854806530 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=169.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 949 1 9582 2 1578793144370328918 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=60.html
DUPTYPE_WITHIN_SAME_TREE -949 1 9582 2 119908340079055060 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=60.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 899 1 9640 2 110901140824256281 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=155.html
DUPTYPE_WITHIN_SAME_TREE -899 1 9640 2 25895697857676405 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=155.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1049 1 9754 2 188025284442981435 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=69.html
DUPTYPE_WITHIN_SAME_TREE -1049 1 9754 2 49258120924703293 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=69.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1063 1 9755 2 226868831229050752 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=79.html
DUPTYPE_WITHIN_SAME_TREE -1063 1 9755 2 12947848929028756 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=79.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 216 0 9825 2 7318349395314572 1 ./index.html-catid=35_accion=a_nombres.html
DUPTYPE_WITHIN_SAME_TREE -216 0 9825 2 29554872554966399 1 ./index.html-catid=35_accion=a_nombres.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 859 1 9896 2 115123265474915169 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=125.html
DUPTYPE_WITHIN_SAME_TREE -859 1 9896 2 339458821913359822 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=125.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 182 0 10043 2 5348024558339978 1 ./index.html-catid=104.html
DUPTYPE_WITHIN_SAME_TREE -182 0 10043 2 45317471250762239 1 ./index.html-catid=104.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 1017 1 10098 2 142707813192564448 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=144.html
DUPTYPE_WITHIN_SAME_TREE -1017 1 10098 2 91479367431281685 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=144.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 991 1 10178 2 127508164450188125 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=108.html
DUPTYPE_WITHIN_SAME_TREE -991 1 10178 2 161566636632235257 1 ./cracky/index.html-nboard=mind_accion=ver_post_idpost=108.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 905 1 10223 2 187462334489555022 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=159.html
DUPTYPE_WITHIN_SAME_TREE -905 1 10223 2 89227567617573903 1 ./cracky/index.html-nboard=art_accion=ver_post_idpost=159.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 782 0 10276 2 7881299348736821 1 ./index.html-lang=_catid=5.html
DUPTYPE_WITHIN_SAME_TREE -782 0 10276 2 91197892454548061 1 ./index.html-lang=_catid=5.html.clean.html
DUPTYPE_FIRST_OCCURRENCE 220 0 10339 2 4785074604918705 1 ./index.html-catid=35_accion=a_planetas.html
